timestamp_s,x,y,yaw_rad,speed_mps,steering_angle_rad,cross_track_error_m
1774732025.067611,-12.2278,-39.1254,0.000000,0.0000,0.000000,0.0000
1774732025.383656,-12.2128,-39.1254,0.000938,0.0000,0.000000,0.0000
1774732025.387678,-12.2128,-39.1254,0.000938,0.1830,-0.007504,0.3176
1774732025.392303,-12.2110,-39.1254,0.001197,0.1970,0.077244,0.3158
1774732025.399668,-12.2110,-39.1254,0.001197,0.2422,-0.099997,0.3158
1774732025.407741,-12.2090,-39.1254,0.001290,0.2554,0.007859,0.3139
1774732025.412380,-12.2070,-39.1254,0.001188,0.3439,0.040726,0.3119
1774732025.415766,-12.2070,-39.1254,0.001188,0.3770,0.091880,0.3119
1774732025.419699,-12.2070,-39.1254,0.001188,0.4088,0.012375,0.3119
1774732025.423645,-12.2048,-39.1254,0.000867,0.4359,-0.234290,0.3097
1774732025.427655,-12.2048,-39.1254,0.000867,0.4856,-0.051860,0.3097
1774732025.432339,-12.2024,-39.1254,0.000529,0.4957,-0.029210,0.3074
1774732025.435666,-12.2024,-39.1254,0.000529,0.5896,-0.036990,0.3074
1774732025.439692,-12.2024,-39.1254,0.000529,0.5896,-0.036990,0.3074
1774732025.443673,-12.2000,-39.1254,0.000410,0.5896,-0.036990,0.3050
1774732025.447678,-12.2000,-39.1254,0.000410,0.5896,-0.036990,0.3050
1774732025.452380,-12.1973,-39.1254,0.000281,0.5896,-0.036990,0.3024
1774732025.455673,-12.1973,-39.1254,0.000281,0.5896,-0.036990,0.3024
1774732025.459678,-12.1973,-39.1254,0.000281,0.5562,-0.329519,0.3024
1774732025.463619,-12.1945,-39.1254,-0.000126,0.5562,-0.329519,0.2996
1774732025.467772,-12.1945,-39.1254,-0.000126,0.5562,-0.329519,0.2996
1774732025.472463,-12.1916,-39.1254,-0.000550,0.5562,-0.329519,0.2968
1774732025.475687,-12.1916,-39.1254,-0.000550,0.5562,-0.329519,0.2968
1774732025.479681,-12.1916,-39.1254,-0.000550,0.5562,-0.329519,0.2968
1774732025.483779,-12.1885,-39.1254,-0.000996,0.5986,0.150312,0.2938
1774732025.487642,-12.1885,-39.1254,-0.000996,0.5986,0.150312,0.2938
1774732025.492256,-12.1854,-39.1254,-0.001773,0.5986,0.150312,0.2906
1774732025.495649,-12.1854,-39.1254,-0.001773,0.5986,0.150312,0.2906
1774732025.499649,-12.1854,-39.1254,-0.001773,0.5986,0.150312,0.2906
1774732025.503650,-12.1820,-39.1254,-0.002584,0.6743,0.217034,0.4928
1774732025.507643,-12.1820,-39.1254,-0.002584,0.6743,0.217034,0.4928
1774732025.513077,-12.1785,-39.1254,-0.003093,0.6743,0.217034,0.4893
1774732025.515654,-12.1785,-39.1254,-0.003093,0.6743,0.217034,0.4893
1774732025.519654,-12.1785,-39.1254,-0.003093,0.6743,0.217034,0.4893
1774732025.523764,-12.1748,-39.1254,-0.003269,0.6327,-0.149892,0.4858
1774732025.527753,-12.1748,-39.1254,-0.003269,0.6327,-0.149892,0.4858
1774732025.532260,-12.1711,-39.1255,-0.003085,0.6327,-0.149892,0.4820
1774732025.535705,-12.1711,-39.1255,-0.003085,0.6327,-0.149892,0.4820
1774732025.539634,-12.1711,-39.1255,-0.003085,0.6327,-0.149892,0.4820
1774732025.543649,-12.1672,-39.1255,-0.002896,0.6668,-0.173108,0.4782
1774732025.547660,-12.1672,-39.1255,-0.002896,0.6668,-0.173108,0.4782
1774732025.552386,-12.1631,-39.1255,-0.003093,0.6668,-0.173108,0.4743
1774732025.555640,-12.1631,-39.1255,-0.003093,0.6668,-0.173108,0.4743
1774732025.559642,-12.1631,-39.1255,-0.003093,0.6668,-0.173108,0.4743
1774732025.563747,-12.1589,-39.1255,-0.003704,0.7823,0.086710,0.4702
1774732025.567864,-12.1589,-39.1255,-0.003704,0.7823,0.086710,0.4702
1774732025.572381,-12.1546,-39.1255,-0.004766,0.7823,0.086710,0.4659
1774732025.575672,-12.1546,-39.1255,-0.004766,0.7823,0.086710,0.4659
1774732025.579675,-12.1546,-39.1255,-0.004766,0.7823,0.086710,0.4659
1774732025.583614,-12.1500,-39.1255,-0.005864,0.7328,-0.059903,0.4614
1774732025.587655,-12.1500,-39.1255,-0.005864,0.7328,-0.059903,0.4614
1774732025.592362,-12.1454,-39.1256,-0.006543,0.7328,-0.059903,0.4569
