timestamp_s,x,y,yaw_rad,speed_mps,steering_angle_rad,cross_track_error_m
1774732095.204369,-11.6631,-41.3670,0.000000,0.0000,0.000000,0.0000
1774732095.512435,-11.6530,-41.3670,0.002043,0.0000,0.000000,0.0000
1774732095.520383,-11.6516,-41.3670,0.002370,0.1598,-0.134543,0.5441
1774732095.524383,-11.6516,-41.3670,0.002370,0.1084,-0.043175,0.5441
1774732095.532371,-11.6501,-41.3670,0.002726,0.2002,0.007189,0.5430
1774732095.536370,-11.6501,-41.3670,0.002726,0.2238,0.032800,0.5430
1774732095.540394,-11.6486,-41.3670,0.002957,0.2386,0.111012,0.5418
1774732095.544533,-11.6486,-41.3670,0.002957,0.2953,-0.103333,0.5418
1774732095.549203,-11.6468,-41.3670,0.003039,0.3312,0.095043,0.5406
1774732095.552379,-11.6468,-41.3670,0.003039,0.4026,-0.122733,0.5406
1774732095.556375,-11.6468,-41.3670,0.003039,0.3987,0.084028,0.5406
1774732095.560327,-11.6450,-41.3670,0.003128,0.4172,0.045736,0.5393
1774732095.564382,-11.6450,-41.3670,0.003128,0.4524,0.074870,0.5393
1774732095.569198,-11.6431,-41.3670,0.003410,0.4524,0.074870,0.5379
1774732095.572533,-11.6431,-41.3670,0.003410,0.4524,0.074870,0.5379
1774732095.576399,-11.6431,-41.3670,0.003410,0.4524,0.074870,0.5379
1774732095.580364,-11.6410,-41.3670,0.003706,0.4524,0.074870,0.5364
1774732095.584379,-11.6410,-41.3670,0.003706,0.5281,-0.116063,0.5364
1774732095.589225,-11.6389,-41.3670,0.004022,0.5281,-0.116063,0.5349
1774732095.592387,-11.6389,-41.3670,0.004022,0.5281,-0.116063,0.5349
1774732095.596387,-11.6389,-41.3670,0.004022,0.5281,-0.116063,0.5349
1774732095.600390,-11.6366,-41.3669,0.004580,0.5281,-0.116063,0.5332
1774732095.604512,-11.6366,-41.3669,0.004580,0.5281,-0.116063,0.5332
1774732095.609314,-11.6342,-41.3669,0.005170,0.5281,-0.116063,0.5315
1774732095.612396,-11.6342,-41.3669,0.005170,0.5281,-0.116063,0.5315
1774732095.616379,-11.6342,-41.3669,0.005170,0.5732,0.248418,0.5315
1774732095.620450,-11.6316,-41.3669,0.005545,0.5732,0.248418,0.5296
1774732095.624461,-11.6316,-41.3669,0.005545,0.5732,0.248418,0.5296
1774732095.629085,-11.6288,-41.3669,0.005676,0.5732,0.248418,0.5277
1774732095.632370,-11.6288,-41.3669,0.005676,0.5732,0.248418,0.5277
1774732095.636513,-11.6288,-41.3669,0.005676,0.5140,-0.368339,0.5277
1774732095.640450,-11.6260,-41.3669,0.005815,0.5140,-0.368339,0.5257
1774732095.644462,-11.6260,-41.3669,0.005815,0.5140,-0.368339,0.5257
1774732095.649139,-11.6230,-41.3669,0.006248,0.5140,-0.368339,0.5236
1774732095.652366,-11.6230,-41.3669,0.006248,0.5140,-0.368339,0.5236
1774732095.656588,-11.6230,-41.3669,0.006248,0.6032,0.048752,0.5236
1774732095.660480,-11.6199,-41.3669,0.006697,0.6032,0.048752,0.5214
1774732095.664354,-11.6199,-41.3669,0.006697,0.6032,0.048752,0.5214
1774732095.669209,-11.6167,-41.3668,0.006853,0.6032,0.048752,0.5191
1774732095.672403,-11.6167,-41.3668,0.006853,0.6032,0.048752,0.5191
1774732095.676370,-11.6167,-41.3668,0.006853,0.6147,0.019835,0.5191
1774732095.680376,-11.6133,-41.3668,0.007017,0.6147,0.019835,0.5168
1774732095.684376,-11.6133,-41.3668,0.007017,0.6147,0.019835,0.5168
1774732095.689110,-11.6098,-41.3668,0.007527,0.6147,0.019835,0.5143
1774732095.692373,-11.6098,-41.3668,0.007527,0.6147,0.019835,0.5143
1774732095.696371,-11.6098,-41.3668,0.007527,0.5785,-0.127028,0.5143
1774732095.700379,-11.6062,-41.3668,0.008053,0.5785,-0.127028,0.5118
1774732095.704401,-11.6062,-41.3668,0.008053,0.5785,-0.127028,0.5118
1774732095.709163,-11.6025,-41.3667,0.008232,0.5785,-0.127028,0.5093
1774732095.712374,-11.6025,-41.3667,0.008232,0.5785,-0.127028,0.5093
1774732095.716576,-11.6025,-41.3667,0.008232,0.6368,-0.023959,0.5093
1774732095.720476,-11.5986,-41.3667,0.008046,0.6368,-0.023959,0.5067
1774732095.724472,-11.5986,-41.3667,0.008046,0.6368,-0.023959,0.5067
1774732095.729017,-11.5947,-41.3667,0.007470,0.6368,-0.023959,0.5040
1774732095.732498,-11.5947,-41.3667,0.007470,0.6368,-0.023959,0.5040
1774732095.736475,-11.5947,-41.3667,0.007470,0.6999,-0.202774,0.5040
1774732095.740376,-11.5906,-41.3666,0.006877,0.6999,-0.202774,0.5012
1774732095.744496,-11.5906,-41.3666,0.006877,0.6999,-0.202774,0.5012
1774732095.749078,-11.5864,-41.3666,0.006673,0.6999,-0.202774,0.4984
1774732095.752365,-11.5864,-41.3666,0.006673,0.6999,-0.202774,0.4984
1774732095.756457,-11.5864,-41.3666,0.006673,0.7398,0.110239,0.4984
1774732095.760371,-11.5820,-41.3666,0.006460,0.7398,0.110239,0.4955
1774732095.764431,-11.5820,-41.3666,0.006460,0.7398,0.110239,0.4955
1774732095.769150,-11.5775,-41.3665,0.005803,0.7398,0.110239,0.4925
1774732095.772420,-11.5775,-41.3665,0.005803,0.7398,0.110239,0.4925
1774732095.776337,-11.5775,-41.3665,0.005803,0.7827,0.084328,0.4925
