x,y,w_left,w_right
-11.684090888405422,19.563235502460913,1.101135777277262,1.101135777277262
-11.784090888405423,19.538235502460907,1.0854146673046206,1.0854146673046206
-12.13409088840542,19.513235502460915,1.1,1.1
-12.334090888405424,19.513235502460915,1.1,1.1
-12.534090888405423,19.513235502460915,1.1,1.1
-12.63409088840542,19.48823550246091,1.0796411440844593,1.0796411440844593
-12.734090888405422,19.48823550246091,1.093446386431452,1.093446386431452
-13.109090888405422,19.46323550246092,1.1002840542332695,1.1002840542332695
-13.209090888405424,19.438235502460913,1.082243041095668,1.082243041095668
-13.309090888405422,19.438235502460913,1.09829413182444,1.09829413182444
-13.684090888405422,19.413235502460907,1.101135777277262,1.101135777277262
-13.784090888405423,19.388235502460915,1.0854146673046206,1.0854146673046206
-14.109090888405422,19.36323550246091,1.1002840542332695,1.1002840542332695
-14.209090888405422,19.33823550246092,1.082243041095668,1.082243041095668
-14.309090888405422,19.33823550246092,1.09829413182444,1.09829413182444
-14.584090888405422,19.288235502460907,1.0854146673046206,1.0854146673046206
-14.859090888405422,19.263235502460915,1.1025538535599972,1.1025538535599972
-14.959090888405422,19.23823550246091,1.0891510455395983,1.0891510455395983
-15.234090888405422,19.188235502460913,1.0796411440844593,1.0796411440844593
-15.334090888405422,19.188235502460913,1.093446386431452,1.093446386431452
-15.609090888405422,19.138235502460915,1.082243041095668,1.082243041095668
-15.709090888405422,19.138235502460915,1.09829413182444,1.09829413182444
-15.959090888405422,19.08823550246092,1.0891510455395983,1.0891510455395983
-16.18409088840542,19.038235502460907,1.0854146673046206,1.0854146673046206
-16.284090888405423,19.038235502460907,1.1036870027322059,1.1036870027322059
-16.509090888405424,18.98823550246091,1.09829413182444,1.09829413182444
-16.734090888405422,18.938235502460913,1.093446386431452,1.093446386431452
-16.95909088840542,18.888235502460915,1.0891510455395983,1.0891510455395983
-17.05909088840542,18.86323550246091,1.0854146673046206,1.0854146673046206
-17.384090888405424,18.788235502460914,1.0854146673046206,1.0854146673046206
-17.484090888405422,18.763235502460915,1.0793516572461452,1.0793516572461452
-17.58409088840542,18.73823550246091,1.0831089511217236,1.0831089511217236
-17.884090888405424,18.663235502460914,1.0793516572461452,1.0793516572461452
-17.984090888405422,18.663235502460914,1.1067971810589328,1.1067971810589328
-18.284090888405423,18.563235502460913,1.0793516572461452,1.0793516572461452
-18.384090888405424,18.538235502460914,1.0831089511217236,1.0831089511217236
-18.55909088840542,18.48823550246091,1.0914439976471537,1.0914439976471537
-18.83409088840542,18.413235502460914,1.0920164833920778,1.0920164833920778
-19.009090888405424,18.36323550246091,1.0991473968490304,1.0991473968490304
-19.18409088840542,18.288235502460914,1.0831089511217236,1.0831089511217236
-19.359090888405422,18.23823550246091,1.0914439976471537,1.0914439976471537
-19.534090888405423,18.163235502460914,1.0770329614269007,1.0770329614269007
-19.759090888405424,18.08823550246091,1.0914439976471537,1.0914439976471537
-19.93409088840542,18.038235502460914,1.1002840542332695,1.1002840542332695
-20.159090888405423,17.938235502460913,1.0914439976471537,1.0914439976471537
-20.33409088840542,17.888235502460915,1.1002840542332695,1.1002840542332695
-20.55909088840542,17.788235502460914,1.0914439976471537,1.0914439976471537
-20.659090888405423,17.73823550246091,1.0845505981741932,1.0845505981741932
-20.859090888405422,17.663235502460914,1.1070794912742266,1.1070794912742266
-21.134090888405424,17.538235502460914,1.1002840542332695,1.1002840542332695
-21.234090888405422,17.48823550246091,1.0957303500405564,1.0957303500405564
-21.334090888405424,17.438235502460913,1.1025538535599972,1.1025538535599972
-21.659090888405423,17.263235502460915,1.1070794912742266,1.1070794912742266
-21.80909088840542,17.188235502460913,1.1073617295175051,1.1073617295175051
-21.884090888405424,17.138235502460915,1.1025538535599972,1.1025538535599972
-22.109090888405422,17.013235502460915,1.1104616157256406,1.1104616157256406
-22.284090888405423,16.913235502460914,1.1236102527122116,1.1236102527122116
-22.43409088840542,16.788235502460914,1.1025538535599972,1.1025538535599972
-22.659090888405423,16.663235502460914,1.1104616157256406,1.1104616157256406
-22.734090888405422,16.61323550246091,1.110180165558726,1.110180165558726
-22.834090888405424,16.538235502460914,1.114955156048888,1.114955156048888
-23.134090888405424,16.33823550246091,1.1305419054595014,1.1305419054595014
-23.234090888405422,16.23823550246091,1.114955156048888,1.114955156048888
-23.359090888405422,16.11323550246091,1.1138334704972732,1.1138334704972732
-23.534090888405423,15.98823550246091,1.1491844934561204,1.1491844934561204
-23.734090888405422,15.788235502460914,1.1491844934561204,1.1491844934561204
-23.884090888405424,15.61323550246091,1.1313708498984762,1.1313708498984762
-24.034090888405423,15.463235502460911,1.1313708498984762,1.1313708498984762
