x,y,vx,yaw,kappa
-68.51114101594635,53.880403256587755,10.0,3.1251789616272823,-0.008670514592303218
-68.75411183061293,53.88459573564131,10.0,3.1237143017158124,-0.0033706640957648464
-68.99670608775057,53.888980202796716,10.0,3.1235448593385655,0.001980498509996369
-69.23911618554993,53.89324485203234,10.0,3.1246755096895753,0.0073461204049012855
-69.48153452220163,53.89707787732658,10.0,3.127105121731387,0.012688863697924506
-69.72415349589626,53.90016747265782,10.0,3.1308264984670333,0.017971077338291685
-69.9671655048245,53.90220183200443,10.0,3.1358263234568593,0.023154997556893746
-70.21076294717692,53.9028691493448,10.0,-3.141100188412443,0.02820299294744771
-70.45513822114414,53.901857618657324,10.0,-3.1336080851453043,0.03307786756795076
-70.70048372491684,53.89885543392036,10.0,-3.124914514731068,0.03774323123898158
-70.94699185668557,53.893550789112304,10.0,-3.115057450146374,0.04216394066137122
-71.19485501464099,53.88563187821155,10.0,-3.104080897722471,0.04630660831636907
-71.44426559697374,53.87478689519647,9.972159470561031,-3.092034733552072,0.05014016873278753
-71.6954160018744,53.86070403404545,9.716638609339535,-3.0789744638110035,0.053636484141837006
-71.94849862753361,53.84307148873687,9.451938607211174,-3.0649608996355524,0.05677096445615443
-72.20370587214201,53.821577453249105,9.17697814364499,-3.050059740119529,0.0595231706527467
-72.4612301338902,53.79591012156055,8.890496235660342,-3.0343410607883174,0.061877366763245394
-72.7212638109688,53.7657576876496,8.591007100384246,-3.0178787093738357,0.0638229844351638
-72.98399930156846,53.7308083454946,8.276738915305597,-3.0007496155745566,0.06535496587248878
-73.24937538847026,53.690729340763156,7.945860332257269,-2.9822013970651664,0.07449769025034544
-73.51553011875541,53.64503918064043,7.598403522508177,-2.9603728791275206,0.08762326412427315
-73.77982238582383,53.593192015206796,7.235270587100153,-2.9346479617696786,0.10407104792669028
-74.03960796840397,53.53464173727474,6.857339363322689,-2.9042518058846256,0.12516931364383327
-74.29224264522429,53.468842239656745,6.4654345970323215,-2.8681492527949506,0.15278876219714374
-74.53508219501322,53.39524741516528,6.060273603506521,-2.8249596005271362,0.18961593728085938
-74.76548239649921,53.31331115661281,5.642357510407091,-2.7728408308627,0.23952899336206807
-74.9807990284107,53.222487356811854,5.211759067096315,-2.7093429745270274,0.3080470835922657
-75.17838786947617,53.12222990857485,4.767708964450282,-2.6312505370311734,0.40263527969138396
-75.35560469842403,53.011992704714295,4.307776213101523,-2.534493015312719,0.5320828870666994
-75.50980529398272,52.89122963804266,3.8261880978149425,-2.4143449971857556,0.7028616409098358
-75.63834543488073,52.75939460137242,3.3651085452311493,-2.266396185898901,0.9086663804703159
-75.73858089984647,52.615941487516075,3.0417576071041137,-2.088958450146124,1.1121247260186513
-75.8079291495837,52.46034574913611,2.971163662939871,-1.8894595203016047,1.1656000841238068
-75.8457808131564,52.292772525205315,3.1862901463994273,-1.7008466338448727,1.0135193002183158
-75.85386797914649,52.11420537070595,3.552821224259638,-1.5372123619048108,0.8151843825962863
-75.83405875324134,51.92567538300825,4.046057358253116,-1.4009161849743157,0.6285478301611508
-75.78822124112834,51.72821365948239,4.642544281102871,-1.2895933976993446,0.47740841911738524
-75.71822354849492,51.52285129749857,5.32191752653166,-1.199118132175362,0.3633001835819052
-75.62593378102846,51.31061939442701,6.067149304985527,-1.1253238724323291,0.27953241340345747
-75.51322004441633,51.092549047637895,6.828571537816617,-1.0646611867989089,0.21838841386854094
-75.38195044434592,50.869671354501435,7.548236904235664,-1.0143136273763202,0.17349619066385977
-75.23399308650464,50.643017412387834,8.23424341520393,-0.9721120206486925,0.14015327504428204
-75.07121607657987,50.41361831866729,8.891237086403638,-0.936402443765799,0.11503709289464863
-74.89548752025904,50.18250517071001,9.521945999916888,-0.9059240858905722,0.09583240858389916
-74.70867552322947,49.950709065886194,10.0,-0.8797114184347483,0.08092478282460248
-74.51264819117863,49.71926110156603,10.0,-0.8570202775469935,0.06917880236204646
-74.30927362979385,49.48919237511974,10.0,-0.8372734294876085,0.059785212836332334
